Time,A,B,C
1,12.1491,16.2263,0.893574
2,15.5527,23.3832,0.837349
3,19.0872,28.3577,0.799197
4,21.7222,32.4331,0.785141
5,23.9613,35.0547,0.833333
6,25.7968,37.5937,0.835341
7,27.7405,39.8601,0.819277
8,29.8587,42.1959,0.827309
9,31.73,45.4027,0.963855
10,33.9859,47.5499,0.939759
11,35.2736,50.7494,0.945783
12,37.3439,54.0754,0.997992
13,39.4733,56.8102,1.048193
14,40.7954,59.2968,1.008032
15,41.6132,60.7895,0.983936
16,43.2391,62.2567,1.044177
17,44.7637,64.7299,1.082329
18,46.0942,66.8309,1.028112
19,46.7771,67.8321,1.072289
20,47.5084,69.6375,1.13253
1,12.6169,19.4131,1.101161
2,16.2095,26.8247,0.971808
3,19.6285,33.734,0.950249
4,22.0058,38.9939,0.862355
5,24.4606,43.1898,0.903814
6,27.4144,47.8689,1.033167
7,29.2963,52.8727,1.006634
8,31.9352,56.9352,1.033167
9,33.5509,61.5152,0.980099
10,35.5984,64.7774,0.978441
11,37.6551,68.9962,0.936982
12,39.4815,72.3056,1.12272
13,41.6215,75.7279,1.048093
14,42.8924,78.1258,1.043118
15,44.1123,80.2934,0.993366
16,45.4815,82.1105,1.003317
17,46.353,83.9344,1.190713
18,47.7789,85.8864,1.117745
19,48.1424,87.6517,1.202322
20,48.412,89.4703,1.205639
1,10.8146,13.5994,2.852381
2,13.6599,19.0717,2.914286
3,16.6173,23.4709,2.733333
4,19.2483,26.8401,2.852381
5,20.9779,30.2691,2.609524
6,23.3044,33.2033,2.32619
7,24.3929,35.9955,2.883333
8,27.4422,39.3991,2.592857
9,29.631,43.6667,2.6
10,32.0952,45.5785,2.892857
11,33.2891,48.9133,2.828571
12,35.5017,51.4574,2.785714
13,36.5204,54.0433,2.866667
14,37.8673,56.5277,3.092857
15,38.6446,59.7698,2.833333
16,40.3197,61.0284,3.009524
17,41.3741,62.142,2.985714
18,41.8895,63.5426,2.719048
19,42.2823,63.1943,3
20,42.4932,62.3154,2.719048
